Model,link,prompted,Greedy distraction,Greedy redefination,Greedy shortcut,Greedy commonsense,Greedy cornercase,Greedy complex,Greedy codesense,Greedy,Distraction pass@1,Distraction pass@5,Redefinition pass@1,Redefinition pass@5,Shortcut pass@1,Shortcut pass@5,Commonsense pass@1,Commonsense pass@5,Cornercase pass@1,Cornercase pass@5,Complex pass@1,Complex pass@5,Codesense pass@1,Codesense pass@5,pass@1,pass@5
GPT-4o-2024-05-13,https://openai.com/index/hello-gpt-4o/,True,50.0,66.7,40.0,60.0,43.3,46.7,53.3,51.4,52.9,62.8,60.1,71.8,36.3,54.6,58.8,75.7,45.4,55.4,46.1,63,58.2,67.5,51.1,64.4
GPT-4o-Mini-2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,True,46.7,53.3,40.0,40.0,40.0,26.7,50.0,42.4,44.4,55.4,53.7,67,37.6,50.8,44.9,57.7,40.1,52.9,34.7,48.5,54.2,65.3,44.2,56.8
GPT-4-Turbo-2024-04-09,https://openai.com/index/new-models-and-developer-products-announced-at-devday/,True,43.3,56.7,33.3,46.7,40.0,36.7,50.0,43.8,42.5,57.1,58.6,66.7,33.6,44.7,48.9,62.4,42.2,59.2,37.8,57.6,52.3,62.8,45.1,58.7
GPT-3.5-Turbo-0125,https://openai.com/index/gpt-3-5-turbo-fine-tuning-and-api-updates/,True,30.0,30.0,30.0,23.3,23.3,16.7,43.3,28.1,29.6,47.8,39.6,58.1,27.9,43.6,35.9,53.1,23.8,35.6,13,30.1,37.1,54,29.6,46
Phi-3-medium 14B,https://huggingface.co/microsoft/Phi-3-medium-128k-instruct,True,13.3,23.3,16.7,20.0,20.0,23.3,30.0,21.0,16.8,33.1,22.5,41.2,16.7,28.4,21.8,42.8,19.3,33.8,8.9,23.4,23.1,45.9,18.4,35.5
Phi-3-small 7B,https://huggingface.co/microsoft/Phi-3-small-128k-instruct,True,16.7,23.3,16.7,13.3,16.7,13.3,36.7,19.5,15.4,28.6,19,37.5,10.9,25,16.6,34.2,15.1,29.6,6.3,16.5,21,46.4,14.9,31.1
Phi-3-mini 3.8B,https://huggingface.co/microsoft/Phi-3-mini-128k-instruct,True,20.0,26.7,13.3,26.7,20.0,3.3,26.7,19.5,12.5,26.3,22.7,35.3,13.3,28.4,16.3,31,16.3,31.5,6.3,13.8,20.7,38,15.4,29.2
Llama 3.1 8B,https://ai.meta.com/blog/meta-llama-3-1/,True,20.0,23.3,16.7,26.7,10.0,3.3,20.0,17.1,6.8,17,10.4,23.8,3.9,13.2,11.7,28.4,5.4,15.3,1.8,7.5,9.5,23.4,7.1,18.4
Gemma2 IT 9B,https://storage.googleapis.com/deepmind-media/gemma/gemma-2-report.pdf,True,20.0,20.0,23.3,20.0,16.7,3.3,23.3,18.1,15.7,23.9,20,30.3,20.7,24.2,17.3,24.6,14.6,22.7,5.9,15.4,18.3,31.3,16.1,24.6
Gemma2 IT 2B,https://storage.googleapis.com/deepmind-media/gemma/gemma-2-report.pdf,True,10.0,10.0,3.3,10.0,10.0,0.0,23.3,9.5,8.6,15.9,7.9,18.1,2.9,7.5,5.9,13.4,7,14.3,0.1,0.6,8.5,20.4,5.8,12.9
CodeGemma 7B 1.1,https://huggingface.co/google/codegemma-1.1-7b-it,True,16.7,23.3,13.3,13.3,20.0,6.7,16.7,15.7,4.9,10.8,5.8,18.3,5.6,13.1,5.9,13,6.3,16.6,1.1,4.6,8.2,20.7,5.4,13.9
Mistral 7B v03,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3,True,6.7,13.3,6.7,16.7,6.7,3.3,10.0,9.0,6.7,15.1,9.8,19.8,4.3,11.7,9.6,19.3,5.8,12.5,0.9,3.9,10.4,24.1,6.8,15.2
Codestral 22B,https://mistral.ai/news/codestral/,True,26.7,40.0,13.3,30.0,16.7,10.0,40.0,25.2,28.9,43.5,34,50.8,17.4,32.7,31.6,49.2,24,40.6,12.2,27.1,34.5,52.4,26.1,42.3
DeepSeek-V2.5,https://www.deepseek.com,True,33.3,56.7,33.3,53.3,36.7,20.0,46.7,40.0,37.8,47.4,51.9,59.6,37.7,50,55.5,66.3,40.2,45,25.4,38,45.7,52.6,42,51.3
DeepSeek-33B,https://huggingface.co/deepseek-ai/deepseek-coder-33b-instruct,True,36.7,40.0,23.3,43.3,36.7,13.3,36.7,32.9,28,41.3,33.8,49,21.3,33.1,39.1,55.9,25.9,38.7,11.4,29.2,35.2,56.3,27.8,43.4
DeepSeek-6.7B,https://huggingface.co/deepseek-ai/deepseek-coder-6.7b-instruct,True,16.7,43.3,13.3,20.0,16.7,6.7,30.0,21.0,19.8,35.6,30.9,44.8,19.2,30.1,25.1,45.3,18.6,33,6,17.6,25.9,44.3,20.8,35.8
DeepSeek-1.3B,https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-instruct,True,6.7,10.0,16.7,20.0,13.3,0.0,13.3,11.4,10.8,20.2,10.3,21.9,10.8,22.2,15.3,26.6,8.2,15.4,0.5,2.4,12.8,28.3,9.8,19.6
o1-preview,https://openai.com/index/introducing-openai-o1-preview/,True,80.0,66.7,70.0,70.0,53.3,63.3,73.3,68.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
o1-mini,https://openai.com/index/openai-o1-mini-advancing-cost-efficient-reasoning/,True,70.0,70.0,76.7,66.7,63.3,50.0,66.7,66.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claude 3.5 Sonnet 20240620,https://www.anthropic.com/news/claude-3-5-sonnet,True,36.7,73.3,30.0,43.3,40.0,33.3,60.0,45.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claude 3 Haiku 20240307,https://www.anthropic.com/news/claude-3-family,True,30.0,26.7,30.0,30.0,23.3,6.7,26.7,24.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Llama 3.1 405B,https://ai.meta.com/blog/meta-llama-3-1/,True,36.7,43.3,36.7,40.0,36.7,36.7,46.7,39.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Llama 3.1 70B,https://ai.meta.com/blog/meta-llama-3-1/,True,40.0,43.3,23.3,36.7,33.3,23.3,36.7,33.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mistral Large 2,https://mistral.ai/news/mistral-large-2407/,True,43.3,43.3,33.3,40.0,40.0,33.3,56.7,41.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Codestral Mamba 7B,https://mistral.ai/news/codestral-mamba/,True,23.3,26.7,16.7,20.0,10.0,10.0,33.3,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mixtral 8x22b Instruct v0.1,https://mistral.ai/news/mixtral-8x22b/,True,20.0,33.3,16.7,26.7,26.7,3.3,26.7,21.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mixtral 8x7B Instruct v0.1,https://mistral.ai/news/mixtral-of-experts/,True,6.7,16.7,6.7,13.3,13.3,3.3,16.7,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gemma2 IT 27B,https://storage.googleapis.com/deepmind-media/gemma/gemma-2-report.pdf,True,26.7,36.7,23.3,26.7,20.0,23.3,43.3,28.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
